Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2021-08-15,20:00 (23:30),La Liga,Matchweek 1,Sun,Home,W,4.0,2.0,Real Sociedad,3.1,1.1,62.0,20384.0,Sergio Busquets,4-3-3,Alejandro Hernández,Match Report,
2022-01-05,19:30 (00:00),Copa del Rey,Round of 32,Wed,Away,W,2.0,1.0,Linares,,,81.0,10000.0,Sergio Busquets,3-1-4-2,Guillermo Cuadra,Match Report,
2022-01-02,21:00 (01:30),La Liga,Matchweek 19,Sun,Away,W,1.0,0.0,Mallorca,1.5,0.9,64.0,14654.0,Gerard Piqué,4-3-3,Antonio Matéu Lahoz,Match Report,
2022-02-20,16:15 (20:45),La Liga,Matchweek 25,Sun,Away,W,4.0,1.0,Valencia,1.8,0.9,64.0,38315.0,Sergio Busquets,4-3-3,Carlos del Cerro,Match Report,
2021-12-18,18:30 (23:00),La Liga,Matchweek 18,Sat,Home,W,3.0,2.0,Elche,3.0,1.2,72.0,41664.0,Sergio Busquets,3-4-3◆,Alberola Rojas,Match Report,
2022-02-24,21:00 (01:30),Europa Lg,Knockout round play-offs,Thu,Away,W,4.0,2.0,it Napoli,1.9,1.3,56.0,37858.0,Sergio Busquets,4-3-3,Sergey Karasev,Match Report,Leg 2 of 2; Barcelona won
2022-02-27,21:00 (01:30),La Liga,Matchweek 26,Sun,Home,W,4.0,0.0,Athletic Club,3.0,0.5,71.0,69770.0,Sergio Busquets,4-3-3,Guillermo Cuadra,Match Report,
2022-03-06,16:15 (20:45),La Liga,Matchweek 27,Sun,Away,W,2.0,1.0,Elche,4.0,1.2,67.0,30146.0,Sergio Busquets,4-3-3,Alejandro Hernández,Match Report,
2021-11-27,21:00 (01:30),La Liga,Matchweek 15,Sat,Away,W,3.0,1.0,Villarreal,3.4,1.3,50.0,19050.0,Sergio Busquets,4-3-3,César Soto,Match Report,
2021-11-20,21:00 (01:30),La Liga,Matchweek 14,Sat,Home,W,1.0,0.0,Espanyol,1.7,1.3,65.0,74418.0,Sergio Busquets,4-3-3,Carlos del Cerro,Match Report,
2022-03-13,21:00 (01:30),La Liga,Matchweek 28,Sun,Home,W,4.0,0.0,Osasuna,4.0,0.2,72.0,54507.0,Sergio Busquets,4-3-3,Ricardo de Burgos,Match Report,
2022-02-06,16:15 (20:45),La Liga,Matchweek 23,Sun,Home,W,4.0,2.0,Atlético Madrid,1.0,1.4,56.0,74221.0,Sergio Busquets,4-3-3,Jesús Gil,Match Report,
2022-03-17,20:45 (23:15),Europa Lg,Round of 16,Thu,Away,W,2.0,1.0,tr Galatasaray,2.4,0.7,67.0,50110.0,Sergio Busquets,4-3-3,Daniele Orsato,Match Report,Leg 2 of 2; Barcelona won
2021-11-02,22:00 (01:30),Champions Lg,Group stage,Tue,Away,W,1.0,0.0,ua Dynamo Kyiv,0.8,1.0,64.0,31378.0,Sergio Busquets,4-3-3,Ovidiu Hațegan,Match Report,
2022-04-03,21:00 (00:30),La Liga,Matchweek 30,Sun,Home,W,1.0,0.0,Sevilla,2.2,0.7,55.0,76112.0,Sergio Busquets,4-3-3,José Sánchez,Match Report,
2021-10-20,18:45 (22:15),Champions Lg,Group stage,Wed,Home,W,1.0,0.0,ua Dynamo Kyiv,2.2,0.1,62.0,45968.0,Sergio Busquets,4-3-3,Clément Turpin,Match Report,
2021-10-17,21:00 (00:30),La Liga,Matchweek 9,Sun,Home,W,3.0,1.0,Valencia,2.1,0.5,60.0,47317.0,Sergio Busquets,4-3-3,Jesús Gil,Match Report,
2022-04-10,21:00 (00:30),La Liga,Matchweek 31,Sun,Away,W,3.0,2.0,Levante,1.4,3.5,63.0,20785.0,Sergio Busquets,4-3-3,José Luis Munuera,Match Report,
2021-09-26,16:15 (19:45),La Liga,Matchweek 7,Sun,Home,W,3.0,0.0,Levante,3.1,0.7,70.0,35334.0,Sergio Busquets,4-2-3-1,Isidro Díaz de Mera,Match Report,
2022-04-21,21:30 (01:00),La Liga,Matchweek 33,Thu,Away,W,1.0,0.0,Real Sociedad,1.1,1.0,45.0,35128.0,Sergio Busquets,4-3-3,Carlos del Cerro,Match Report,
2022-05-01,21:00 (00:30),La Liga,Matchweek 34,Sun,Home,W,2.0,1.0,Mallorca,1.2,1.0,70.0,62789.0,Sergio Busquets,4-3-3,Pablo González,Match Report,
2022-05-07,21:00 (00:30),La Liga,Matchweek 35,Sat,Away,W,2.0,1.0,Betis,1.1,0.9,57.0,46132.0,Sergio Busquets,4-3-3,Antonio Matéu Lahoz,Match Report,
2021-08-29,17:00 (20:30),La Liga,Matchweek 3,Sun,Home,W,2.0,1.0,Getafe,1.2,0.4,66.0,26543.0,Sergio Busquets,4-3-3,Pablo González,Match Report,
2022-05-10,21:30 (01:00),La Liga,Matchweek 36,Tue,Home,W,3.0,1.0,Celta Vigo,1.2,1.1,54.0,55899.0,Jordi Alba,4-2-3-1,Miguel Ángel Ortiz Arias,Match Report,
2022-03-20,21:00 (01:30),La Liga,Matchweek 29,Sun,Away,W,4.0,0.0,Real Madrid,2.7,1.1,60.0,60017.0,Sergio Busquets,4-3-3,Juan Martínez,Match Report,
2022-01-23,21:00 (01:30),La Liga,Matchweek 22,Sun,Away,W,1.0,0.0,Alavés,1.3,0.7,75.0,14056.0,Sergio Busquets,4-3-3,Jorge Figueroa,Match Report,
2022-03-10,21:00 (01:30),Europa Lg,Round of 16,Thu,Home,D,0.0,0.0,tr Galatasaray,1.6,0.2,68.0,61740.0,Jordi Alba,4-3-3,Benoît Bastien,Match Report,Leg 1 of 2
2022-04-07,21:00 (00:30),Europa Lg,Quarter-finals,Thu,Away,D,1.0,1.0,de Eint Frankfurt,0.9,1.4,65.0,48000.0,Sergio Busquets,4-3-3,Srđan Jovanović,Match Report,Leg 1 of 2
2022-02-17,18:45 (23:15),Europa Lg,Knockout round play-offs,Thu,Home,D,1.0,1.0,it Napoli,2.4,0.8,66.0,73525.0,Gerard Piqué,4-3-3,István Kovács,Match Report,Leg 1 of 2
2022-02-13,21:00 (01:30),La Liga,Matchweek 24,Sun,Away,D,2.0,2.0,Espanyol,1.6,1.3,64.0,25049.0,Sergio Busquets,4-3-3,Alejandro Hernández,Match Report,
2022-01-08,18:30 (23:00),La Liga,Matchweek 20,Sat,Away,D,1.0,1.0,Granada,0.8,1.7,64.0,14442.0,Sergio Busquets,4-3-3,Pablo González,Match Report,
2022-05-15,19:30 (23:00),La Liga,Matchweek 37,Sun,Away,D,0.0,0.0,Getafe,0.2,0.4,71.0,13072.0,Sergio Busquets,4-3-3,Jesús Gil,Match Report,
2021-12-21,21:30 (02:00),La Liga,Matchweek 4,Tue,Away,D,1.0,1.0,Sevilla,2.0,0.4,58.0,31358.0,Sergio Busquets,4-3-3,Carlos del Cerro,Match Report,
2021-12-12,16:15 (20:45),La Liga,Matchweek 17,Sun,Away,D,2.0,2.0,Osasuna,0.9,0.3,61.0,21427.0,Sergio Busquets,3-3-3-1,Juan Martínez,Match Report,
2021-08-21,22:00 (01:30),La Liga,Matchweek 2,Sat,Away,D,1.0,1.0,Athletic Club,1.4,1.5,67.0,9394.0,Sergio Busquets,4-3-3,Juan Martínez,Match Report,
2021-11-23,21:00 (01:30),Champions Lg,Group stage,Tue,Home,D,0.0,0.0,pt Benfica,1.4,1.2,65.0,49572.0,Sergio Busquets,3-4-3,Sergey Karasev,Match Report,
2021-11-06,16:15 (20:45),La Liga,Matchweek 13,Sat,Away,D,3.0,3.0,Celta Vigo,1.1,1.5,48.0,13146.0,Sergio Busquets,4-3-3,Alejandro Hernández,Match Report,
2021-10-30,21:00 (00:30),La Liga,Matchweek 12,Sat,Home,D,1.0,1.0,Alavés,1.4,0.8,79.0,37278.0,Sergio Busquets,4-3-3,Jorge Figueroa,Match Report,
2021-09-20,21:00 (00:30),La Liga,Matchweek 5,Mon,Home,D,1.0,1.0,Granada,1.8,0.7,76.0,27097.0,Sergio Busquets,4-3-3,Santiago Jaime,Match Report,
2021-09-23,22:00 (01:30),La Liga,Matchweek 6,Thu,Away,D,0.0,0.0,Cádiz,0.6,1.4,67.0,12180.0,Sergio Busquets,4-3-3,Carlos del Cerro,Match Report,
2022-01-12,22:00 (00:30),Supercopa de España,Semi-finals,Wed,Home,L,2.0,3.0,Real Madrid,,,53.0,,Sergio Busquets,4-3-3,José Luis Munuera,Match Report,Required Extra Time
2021-09-14,21:00 (00:30),Champions Lg,Group stage,Tue,Home,L,0.0,3.0,de Bayern Munich,0.2,2.7,49.0,39737.0,Sergio Busquets,3-1-4-2,Michael Oliver,Match Report,
2022-04-24,21:00 (00:30),La Liga,Matchweek 21,Sun,Home,L,0.0,1.0,Rayo Vallecano,1.7,0.4,70.0,57023.0,Sergio Busquets,4-3-3,Isidro Díaz de Mera,Match Report,
2022-04-18,21:00 (00:30),La Liga,Matchweek 32,Mon,Home,L,0.0,1.0,Cádiz,1.6,1.7,74.0,57495.0,Sergio Busquets,4-3-3,Santiago Jaime,Match Report,
2021-10-24,16:15 (19:45),La Liga,Matchweek 10,Sun,Home,L,1.0,2.0,Real Madrid,1.8,1.7,51.0,86422.0,Sergio Busquets,4-3-3,José Sánchez,Match Report,
2021-09-29,20:00 (00:30),Champions Lg,Group stage,Wed,Away,L,0.0,3.0,pt Benfica,1.2,1.9,59.0,29454.0,Sergio Busquets,3-4-1-2,Daniele Orsato,Match Report,
2021-10-02,21:00 (00:30),La Liga,Matchweek 8,Sat,Away,L,0.0,2.0,Atlético Madrid,0.9,1.3,70.0,60594.0,Sergio Busquets,4-2-3-1,César Soto,Match Report,
2022-01-20,21:30 (02:00),Copa del Rey,Round of 16,Thu,Away,L,2.0,3.0,Athletic Club,,,67.0,37287.0,Sergio Busquets,4-3-3,José Luis Munuera,Match Report,Required Extra Time
2021-10-27,19:00 (22:30),La Liga,Matchweek 11,Wed,Away,L,0.0,1.0,Rayo Vallecano,2.8,1.4,68.0,9340.0,Sergio Busquets,4-3-3,Antonio Matéu Lahoz,Match Report,
2021-12-04,16:15 (20:45),La Liga,Matchweek 16,Sat,Home,L,0.0,1.0,Betis,1.1,0.8,63.0,66529.0,Sergio Busquets,4-3-3,Pablo González,Match Report,
2021-12-08,21:00 (01:30),Champions Lg,Group stage,Wed,Away,L,0.0,3.0,de Bayern Munich,0.4,2.4,48.0,,Sergio Busquets,4-3-3,Ovidiu Hațegan,Match Report,
2022-04-14,21:00 (00:30),Europa Lg,Quarter-finals,Thu,Home,L,2.0,3.0,de Eint Frankfurt,2.6,2.0,74.0,79468.0,Sergio Busquets,4-3-3,Artur Dias,Match Report,Leg 2 of 2; Eint Frankfurt won
2022-05-22,22:00 (01:30),La Liga,Matchweek 38,Sun,Home,L,0.0,2.0,Villarreal,0.9,0.7,69.0,54850.0,Sergio Busquets,4-3-3,José Luis Munuera,Match Report,
,,,,,,,,,,,,,,,,,,
